,n,neighbor_joining,rapid_nj,quicktree
0,777,0.7519104480743408,0.05663037300109863,0.12987303733825684
1,1560,8.19338083267212,0.21703267097473145,0.8560934066772461
2,214,0.01744842529296875,0.005067586898803711,0.008521556854248047
3,1493,7.086102247238159,0.21233797073364258,0.7230527400970459
4,1756,12.351809740066528,0.3301377296447754,1.1360070705413818
5,1347,5.096885681152344,0.20242905616760254,0.573789119720459
6,1849,14.57180643081665,0.32175302505493164,1.3927936553955078
7,304,0.032506465911865234,0.008844614028930664,0.017003536224365234
8,494,0.1278221607208252,0.021389245986938477,0.04843568801879883
9,1689,10.676560878753662,0.27614617347717285,1.032839059829712
10,877,1.1081666946411133,0.07386374473571777,0.17449712753295898
11,608,0.26418638229370117,0.03890800476074219,0.06395268440246582
12,89,0.0020694732666015625,0.0028128623962402344,0.0019774436950683594
13,401,0.07271170616149902,0.022823333740234375,0.0391848087310791
